,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,-0.0193,0.335,-0.7123,0.4853,0.0409,0.0237,72.0743,49.7347,1.0236
mu_beta[Expenditure],-0.0725,0.1897,-0.4594,0.1953,0.0188,0.0146,99.9429,55.5675,0.988
mu_beta[Income],0.036,0.1436,-0.2715,0.2819,0.0123,0.0118,138.554,79.892,1.019
mu_beta[Squad Value],-0.0016,0.0599,-0.0912,0.1103,0.0066,0.0092,82.4187,79.2784,0.9974
mu_beta[Avg. Squad Age],0.0297,0.0544,-0.0079,0.0543,0.0066,0.0233,98.4092,73.0976,0.996
mu_beta[Goals For],0.6307,0.0841,0.4785,0.7727,0.0092,0.0091,86.8307,80.5222,1.0104
mu_beta[Goals Against],-0.4655,0.0674,-0.567,-0.3045,0.0065,0.0058,116.1269,101.8862,1.0014
mu_beta[Expenditure_missing],0.1434,0.4506,-0.5015,0.9613,0.0466,0.0448,97.3477,78.4117,0.991
mu_beta[Income_missing],-0.0631,0.314,-0.6837,0.5196,0.026,0.0244,148.0298,54.5597,1.0209
sigma,0.329,0.0069,0.3178,0.3415,0.0005,0.0006,178.602,99.6558,0.9923
sigma_alpha,0.4386,0.2471,0.1335,0.8972,0.0219,0.0381,118.1724,40.815,1.0253
sigma_beta[Expenditure],0.0852,0.081,0.0012,0.2623,0.0105,0.0091,41.81,32.9585,1.0128
sigma_beta[Income],0.0782,0.1112,0.0002,0.3063,0.0185,0.0233,30.9497,32.9585,1.0589
sigma_beta[Squad Value],0.0564,0.0548,0.0015,0.1737,0.0087,0.0082,25.6213,55.3219,1.0707
sigma_beta[Avg. Squad Age],0.0247,0.0463,0.0,0.0872,0.0068,0.0156,21.4311,55.3111,1.0731
sigma_beta[Goals For],0.1374,0.0696,0.054,0.2591,0.0078,0.0089,85.3353,79.892,1.0492
sigma_beta[Goals Against],0.1229,0.0831,0.0384,0.263,0.0063,0.0099,136.185,102.8535,0.9887
sigma_beta[Expenditure_missing],0.1173,0.1296,0.0003,0.4261,0.0245,0.0152,21.5516,32.7819,1.0826
sigma_beta[Income_missing],0.1532,0.1594,0.0032,0.4846,0.0335,0.0189,19.1755,53.7714,1.0744
