,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[Championship],-0.0767,0.0758,-0.2112,0.0817,0.0039,0.0045,380.5161,2954.2028,1.0363
alpha[League One],1.0131,0.1183,0.788,1.2607,0.0078,0.0113,205.1099,3300.5081,1.0796
alpha[League Two],1.0962,0.2941,0.5319,1.665,0.0253,0.0313,128.4726,1750.0356,1.1361
alpha[Premier League],-2.2859,0.1784,-2.6234,-1.9183,0.0038,0.02,1669.8321,2846.405,1.1535
"beta[Championship, Prev Expenditure]",0.3603,0.1055,0.1526,0.5173,0.0268,0.0015,17.1504,2655.5851,1.154
"beta[Championship, Prev Income]",-0.0686,0.042,-0.1513,0.0166,0.0007,0.005,981.2165,1957.3211,1.1618
"beta[Championship, Prev Squad Value]",0.7047,0.125,0.4513,0.9448,0.0034,0.0159,893.2405,2621.6056,1.2488
"beta[Championship, Prev Avg. Squad Age]",-0.0624,0.0475,-0.1375,0.0277,0.0139,0.0013,11.8938,122.0555,1.2426
"beta[Championship, Prev Goals For]",0.2708,0.0702,0.1272,0.4017,0.0057,0.0071,113.4384,1699.3764,1.0868
"beta[Championship, Prev Goals Against]",-0.3061,0.0554,-0.4102,-0.1935,0.0011,0.0064,1042.0492,2364.3094,1.1879
"beta[Championship, Prev Points]",-0.2043,0.0835,-0.3596,-0.0303,0.0056,0.0086,271.3128,2317.4527,1.2952
"beta[Championship, Prev Expenditure_missing]",-0.2909,0.1313,-0.5461,-0.0322,0.0141,0.0135,81.7185,2320.8928,1.1577
"beta[Championship, Prev Income_missing]",0.0777,0.0928,-0.1066,0.2624,0.0098,0.0091,100.8512,3258.3347,1.2165
"beta[League One, Prev Expenditure]",0.418,0.1316,0.1633,0.6752,0.0028,0.0161,374.4536,1790.1535,1.1731
"beta[League One, Prev Income]",-0.0573,0.0643,-0.1859,0.0756,0.0016,0.0066,184.953,2777.053,1.1851
"beta[League One, Prev Squad Value]",0.8844,0.1798,0.6455,1.2625,0.044,0.0026,17.1186,1505.0086,1.1531
"beta[League One, Prev Avg. Squad Age]",-0.0329,0.0452,-0.1104,0.0404,0.0135,0.0013,11.3828,50.092,1.256
"beta[League One, Prev Goals For]",0.2863,0.075,0.136,0.4273,0.0079,0.0072,82.3384,2230.4973,1.1132
"beta[League One, Prev Goals Against]",-0.2911,0.053,-0.3919,-0.1844,0.0024,0.0056,382.7516,1755.8709,1.1094
"beta[League One, Prev Points]",-0.1856,0.0818,-0.3477,-0.0209,0.0013,0.0106,3353.6061,2157.3898,1.338
"beta[League One, Prev Expenditure_missing]",-0.2207,0.1148,-0.3969,-0.0002,0.029,0.0068,15.4833,125.72,1.1705
"beta[League One, Prev Income_missing]",0.0705,0.0844,-0.1121,0.2232,0.005,0.0097,397.9219,2848.1462,1.2733
"beta[League Two, Prev Expenditure]",0.4082,0.1649,0.106,0.7465,0.0032,0.0184,2048.6187,2100.3326,1.2441
"beta[League Two, Prev Income]",-0.0356,0.0987,-0.2048,0.1711,0.0083,0.0039,71.1737,1781.0419,1.1755
"beta[League Two, Prev Squad Value]",0.5254,0.2669,-0.0084,0.9146,0.0572,0.0096,27.9669,1360.9284,1.0945
"beta[League Two, Prev Avg. Squad Age]",-0.049,0.0469,-0.1324,0.0308,0.0138,0.0042,10.9309,46.8862,1.2756
"beta[League Two, Prev Goals For]",0.307,0.0783,0.1404,0.4454,0.0101,0.0066,54.9372,2585.367,1.1931
"beta[League Two, Prev Goals Against]",-0.3133,0.0541,-0.4271,-0.2189,0.003,0.006,392.5319,1855.1108,1.1255
"beta[League Two, Prev Points]",-0.1784,0.0856,-0.3329,0.0065,0.0063,0.0093,214.2433,2751.5986,1.2071
"beta[League Two, Prev Expenditure_missing]",-0.0671,0.1582,-0.3786,0.248,0.0031,0.0205,1461.2823,2156.3611,1.2438
"beta[League Two, Prev Income_missing]",0.0808,0.0893,-0.0999,0.245,0.0129,0.0077,48.6566,2295.3609,1.1237
"beta[Premier League, Prev Expenditure]",0.2898,0.1266,0.089,0.4708,0.0465,0.0113,8.1079,37.5324,1.4233
"beta[Premier League, Prev Income]",-0.056,0.0321,-0.1105,0.0105,0.0052,0.0024,38.0494,2833.0044,1.1
"beta[Premier League, Prev Squad Value]",0.9003,0.1509,0.6878,1.1656,0.0489,0.0054,9.9382,127.805,1.31
"beta[Premier League, Prev Avg. Squad Age]",-0.044,0.0425,-0.1294,0.0374,0.0052,0.0037,70.3375,1849.9916,1.111
"beta[Premier League, Prev Goals For]",0.3541,0.0771,0.1928,0.4757,0.0151,0.0035,27.0019,2563.4552,1.0946
"beta[Premier League, Prev Goals Against]",-0.3384,0.0695,-0.4489,-0.2005,0.0146,0.0026,23.0683,1415.9046,1.112
"beta[Premier League, Prev Points]",-0.2009,0.0911,-0.3633,-0.0148,0.0115,0.0072,66.3453,2189.7693,1.1408
"beta[Premier League, Prev Expenditure_missing]",-0.3592,0.3377,-1.0064,0.2835,0.0072,0.0366,110.9052,1747.7174,1.1919
"beta[Premier League, Prev Income_missing]",0.0444,0.1765,-0.3291,0.2899,0.0279,0.0068,23.7371,2107.1771,1.1067
