,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,0.0126,0.2473,-0.4001,0.504,0.0254,0.0165,95.0229,96.3843,1.0415
z_alpha[Championship],0.5268,0.6206,-0.5945,1.8444,0.0579,0.0298,111.3604,107.6052,1.0284
z_alpha[League One],0.2765,0.5446,-0.716,1.3209,0.0508,0.0254,112.8732,131.0028,1.0226
z_alpha[League Two],0.2504,0.5514,-0.9025,1.1801,0.0467,0.0251,138.164,158.692,1.0114
z_alpha[Premier League],-1.1732,0.7126,-2.4457,0.1946,0.0526,0.033,180.6602,251.8017,1.0009
beta[Expenditure],0.034,0.11,-0.161,0.241,0.0073,0.0047,225.0367,258.1995,1.013
beta[Income],-0.0336,0.0909,-0.1974,0.1221,0.0058,0.0058,247.4354,191.0318,1.0059
beta[Squad Value],-0.0305,0.0388,-0.1034,0.0361,0.0019,0.0016,407.3039,290.0741,1.0027
beta[Avg. Squad Age],0.0325,0.0116,0.0126,0.0547,0.0006,0.0005,428.7778,271.6409,1.0152
beta[Goals For],0.6539,0.0128,0.629,0.6754,0.0006,0.0006,402.0507,253.3634,1.0001
beta[Goals Against],-0.4411,0.0126,-0.466,-0.4171,0.0006,0.0006,460.6582,297.2723,0.9987
beta[Expenditure_missing],-0.125,0.2476,-0.6015,0.2888,0.0161,0.0103,239.0264,258.6329,1.0126
beta[Income_missing],0.1205,0.1952,-0.2208,0.4677,0.0126,0.0128,248.8847,173.6239,1.0038
sigma_alpha,0.3937,0.2405,0.0942,0.7916,0.0185,0.0201,167.0038,252.3867,1.0251
sigma,0.3376,0.008,0.3237,0.3539,0.0003,0.0005,767.4399,233.8583,1.0124
alpha[Championship],0.1625,0.1051,-0.0282,0.3477,0.0073,0.0039,203.9576,334.0302,1.0144
alpha[League One],0.0919,0.1286,-0.1474,0.3165,0.0091,0.0049,192.857,331.6005,1.0177
alpha[League Two],0.0871,0.1583,-0.2172,0.3564,0.0111,0.0058,207.7272,287.4118,1.018
alpha[Premier League],-0.357,0.126,-0.6137,-0.1457,0.0079,0.0047,257.0264,335.9815,1.0113
