,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[Championship],-0.2457,0.2826,-0.8337,0.257,0.0217,0.0277,160.6068,78.8451,1.012
alpha[League One],0.6211,0.3012,0.139,1.2966,0.0221,0.025,200.0,73.8392,0.9998
alpha[League Two],0.5076,0.4516,-0.3224,1.3551,0.0632,0.0383,56.8027,81.9186,1.0376
alpha[Premier League],-2.4689,0.339,-3.3657,-1.9829,0.0264,0.0388,163.4805,54.8107,1.0065
"beta[Championship, Prev Expenditure]",-0.0682,0.2625,-0.6013,0.3271,0.0326,0.0256,60.9692,36.1648,1.0317
"beta[Championship, Prev Income]",-0.2236,0.1671,-0.6044,0.0617,0.0137,0.0133,154.6819,51.5551,1.02
"beta[Championship, Prev Squad Value]",0.8658,0.1375,0.5708,1.0785,0.0097,0.0091,200.0,95.0851,1.0012
"beta[Championship, Prev Avg. Squad Age]",-0.0461,0.0468,-0.1555,0.0162,0.0037,0.0043,157.0687,106.9123,0.9971
"beta[Championship, Prev Goals For]",0.2365,0.0769,0.0921,0.3783,0.0071,0.0056,110.9095,119.5919,0.9923
"beta[Championship, Prev Goals Against]",-0.3019,0.0698,-0.425,-0.1753,0.006,0.0041,147.9194,56.0855,0.9895
"beta[Championship, Prev Season Result]",-0.2306,0.0955,-0.387,-0.0406,0.009,0.0056,113.0763,114.6818,0.9936
"beta[Championship, Prev Expenditure_missing]",-0.1536,0.6742,-1.1945,1.0426,0.1147,0.0656,32.253,36.1648,1.053
"beta[Championship, Prev Income_missing]",0.5343,0.3776,-0.0532,1.3177,0.0319,0.0226,146.5462,110.8518,0.9994
"beta[League One, Prev Expenditure]",-0.0507,0.2695,-0.5575,0.4026,0.0258,0.0228,92.6758,79.892,1.014
"beta[League One, Prev Income]",-0.2194,0.1769,-0.5074,0.126,0.0134,0.0149,161.55,80.5222,1.0648
"beta[League One, Prev Squad Value]",1.0266,0.1513,0.7306,1.2749,0.0143,0.0078,114.6061,112.8619,1.0069
"beta[League One, Prev Avg. Squad Age]",-0.0539,0.0457,-0.1335,0.0399,0.0045,0.0042,120.7608,71.5863,1.0035
"beta[League One, Prev Goals For]",0.2748,0.0983,0.1401,0.4544,0.0087,0.0108,144.7542,80.5222,0.9983
"beta[League One, Prev Goals Against]",-0.2621,0.0596,-0.3549,-0.1396,0.0044,0.0044,189.1321,114.2693,1.0181
"beta[League One, Prev Season Result]",-0.2365,0.1017,-0.4344,-0.0569,0.0094,0.0076,121.6398,78.0984,0.993
"beta[League One, Prev Expenditure_missing]",-0.033,0.5468,-0.8444,1.2578,0.0538,0.0548,100.4705,79.892,1.0104
"beta[League One, Prev Income_missing]",0.4755,0.3657,-0.1036,1.282,0.0266,0.0295,190.1864,84.4919,1.0284
"beta[League Two, Prev Expenditure]",-0.0101,0.3023,-0.4556,0.7496,0.0482,0.0264,33.8133,76.8314,1.0478
"beta[League Two, Prev Income]",-0.2159,0.1837,-0.5677,0.0884,0.0136,0.0152,181.3679,72.3857,1.0466
"beta[League Two, Prev Squad Value]",0.536,0.2702,0.1074,0.9898,0.0302,0.018,77.635,79.892,1.0377
"beta[League Two, Prev Avg. Squad Age]",-0.0387,0.0374,-0.0942,0.0411,0.0033,0.0026,134.4241,79.9274,0.9935
"beta[League Two, Prev Goals For]",0.2923,0.0906,0.1263,0.4668,0.0075,0.0058,149.0945,123.1799,0.9953
"beta[League Two, Prev Goals Against]",-0.3104,0.0593,-0.4089,-0.1901,0.0066,0.0034,83.909,79.8659,1.0148
"beta[League Two, Prev Season Result]",-0.2035,0.0854,-0.3354,-0.0333,0.007,0.0053,140.8927,98.1885,1.0028
"beta[League Two, Prev Expenditure_missing]",0.0407,0.5478,-1.1154,0.9171,0.0876,0.0543,34.0338,35.5345,1.0434
"beta[League Two, Prev Income_missing]",0.4856,0.3706,-0.2088,1.1252,0.0271,0.0315,186.4179,108.4461,1.0446
"beta[Premier League, Prev Expenditure]",-0.142,0.2408,-0.6538,0.267,0.017,0.0254,200.0,60.2511,0.9943
"beta[Premier League, Prev Income]",-0.2576,0.2047,-0.6543,0.125,0.0145,0.016,192.0857,57.6991,1.0294
"beta[Premier League, Prev Squad Value]",1.0836,0.1495,0.8235,1.39,0.0131,0.0185,128.5516,65.9409,1.0283
"beta[Premier League, Prev Avg. Squad Age]",-0.0475,0.048,-0.1504,0.0168,0.0064,0.0062,47.721,67.2378,1.0506
"beta[Premier League, Prev Goals For]",0.3713,0.0854,0.2235,0.5184,0.0084,0.0048,114.5788,106.5155,1.0002
"beta[Premier League, Prev Goals Against]",-0.3247,0.0744,-0.4391,-0.184,0.0077,0.0051,87.2951,80.5222,1.0089
"beta[Premier League, Prev Season Result]",-0.2299,0.1014,-0.4111,-0.0499,0.0103,0.0067,96.7296,120.6815,1.0125
"beta[Premier League, Prev Expenditure_missing]",-0.1556,0.689,-1.3388,1.1029,0.0724,0.0762,93.6737,79.892,1.0257
"beta[Premier League, Prev Income_missing]",0.3947,0.4664,-0.4521,1.2698,0.0349,0.0502,180.5274,66.9495,1.0463
