League,Feature,MeanCoefficient,AbsMeanCoefficient,SD,HDILower,HDIUpper,ProbabilityPositive,ProbabilityNegative,RobustNonZero,Direction,IntervalProbability,AbsMeanRank,RobustRank
Championship,Prev Squad Value,0.6838862719567266,0.6838862719567266,0.14659406564761754,0.41195323268744505,0.9589575943140438,1.0,0.0,True,positive,0.94,1.0,1
Championship,Prev Expenditure,0.3299883951692575,0.3299883951692575,0.10746378893474122,0.13489710501636482,0.5356988802593116,0.9985,0.0015,True,positive,0.94,2.0,2
Championship,Prev Goals Against,-0.3030725023684605,0.3030725023684605,0.0670648854190148,-0.4347070783101358,-0.18109644584373036,0.00025,0.99975,True,negative,0.94,3.0,3
Championship,Prev Expenditure_missing,-0.29246492054551204,0.29246492054551204,0.14889621672148923,-0.5784325114453934,-0.024306635909791374,0.01675,0.98325,True,negative,0.94,4.0,4
Championship,Prev Goals For,0.265283109122856,0.265283109122856,0.08286554795382672,0.10798970136771033,0.4155292090674474,0.99775,0.00225,True,positive,0.94,5.0,5
Championship,Prev Points,-0.19789608024117875,0.19789608024117875,0.09921434182044717,-0.3962580127303976,-0.01977535412195841,0.0245,0.9755,True,negative,0.94,6.0,6
Championship,Prev Income,-0.0718753856101428,0.0718753856101428,0.05228179128273864,-0.1778118506107936,0.02213687981063481,0.07225,0.92775,False,mixed,0.94,7.0,7
Championship,Prev Income_missing,0.06533944640861092,0.06533944640861092,0.1098936860322211,-0.12876935155943567,0.28623096501660533,0.7355,0.2645,False,mixed,0.94,8.0,8
Championship,Prev Avg. Squad Age,-0.04582917898726927,0.04582917898726927,0.04613643765266446,-0.13541929068857927,0.03849468815833932,0.151,0.849,False,mixed,0.94,9.0,9
League One,Prev Squad Value,0.9256373009942175,0.9256373009942175,0.17918915875574637,0.611966710515649,1.2837585272923455,1.0,0.0,True,positive,0.94,1.0,1
League One,Prev Expenditure,0.4224013084945116,0.4224013084945116,0.14861278922431162,0.15518787008483537,0.7025060723594103,0.9985,0.0015,True,positive,0.94,2.0,2
League One,Prev Goals Against,-0.2854250030921367,0.2854250030921367,0.06151552519720573,-0.39757967426188845,-0.16512117793449943,0.0005,0.9995,True,negative,0.94,3.0,3
League One,Prev Goals For,0.2756723135604543,0.2756723135604543,0.08716791632444619,0.11672754732317035,0.4409689363885612,0.9975,0.0025,True,positive,0.94,4.0,4
League One,Prev Points,-0.1887784275846746,0.1887784275846746,0.09626547715349888,-0.3721590537602488,-0.010201342774371194,0.02775,0.97225,True,negative,0.94,6.0,5
League One,Prev Expenditure_missing,-0.19694112631581864,0.19694112631581864,0.1152328643612069,-0.4155580364373389,0.013573201240306643,0.04425,0.95575,False,mixed,0.94,5.0,6
League One,Prev Income_missing,0.06229495395611347,0.06229495395611347,0.09710291199886462,-0.13152700065792433,0.23823785724687085,0.74475,0.25525,False,mixed,0.94,7.0,7
League One,Prev Income,-0.05401101971337666,0.05401101971337666,0.08107507745762131,-0.22257579369906155,0.10346269940689268,0.20775,0.79225,False,mixed,0.94,8.0,8
League One,Prev Avg. Squad Age,-0.047460464002551876,0.047460464002551876,0.044217579830908245,-0.12808991468472783,0.03816297609601517,0.1335,0.8665,False,mixed,0.94,9.0,9
League Two,Prev Expenditure,0.43117643481557194,0.43117643481557194,0.20737558036961393,0.07429736990272662,0.8504342318994166,0.99225,0.00775,True,positive,0.94,2.0,1
League Two,Prev Goals Against,-0.3236687413192457,0.3236687413192457,0.062123767231549575,-0.4541836327120657,-0.21953417368954226,0.0,1.0,True,negative,0.94,3.0,2
League Two,Prev Goals For,0.29811221173551183,0.29811221173551183,0.08832568310919517,0.12917953407871963,0.4635699734649462,0.9985,0.0015,True,positive,0.94,4.0,3
League Two,Prev Squad Value,0.4526729535364948,0.4526729535364948,0.2634478238066251,-0.06044151625109122,0.8962099689784769,0.947,0.053,False,mixed,0.94,1.0,4
League Two,Prev Points,-0.17036268718345743,0.17036268718345743,0.10053604797063384,-0.35283205145592145,0.030598872577608738,0.05125,0.94875,False,mixed,0.94,5.0,5
League Two,Prev Income_missing,0.06531506690119213,0.06531506690119213,0.1001425530433832,-0.12239913883651932,0.25218311983878916,0.7415,0.2585,False,mixed,0.94,6.0,6
League Two,Prev Expenditure_missing,-0.05441093273583472,0.05441093273583472,0.1831095502840438,-0.36614203065104556,0.3031668084182313,0.3505,0.6495,False,mixed,0.94,7.0,7
League Two,Prev Avg. Squad Age,-0.029907497752406084,0.029907497752406084,0.045781989615259464,-0.11302256045172404,0.05864724929165155,0.24175,0.75825,False,mixed,0.94,8.0,8
League Two,Prev Income,-0.0075593569195961914,0.0075593569195961914,0.12868158041872282,-0.2391875449677102,0.24620831830444642,0.35675,0.64325,False,mixed,0.94,9.0,9
Premier League,Prev Squad Value,0.9581003522641784,0.9581003522641784,0.1299793087316603,0.7158230365776388,1.198247095070107,1.0,0.0,True,positive,0.94,1.0,1
Premier League,Prev Goals For,0.3526971378818636,0.3526971378818636,0.08634536337202613,0.20050634735310888,0.5237513233057349,1.0,0.0,True,positive,0.94,2.0,2
Premier League,Prev Goals Against,-0.32895660446562736,0.32895660446562736,0.07310504107879397,-0.4756236748669771,-0.1981157914504021,0.0,1.0,True,negative,0.94,4.0,3
Premier League,Prev Expenditure,0.22862636445417597,0.22862636445417597,0.10087367012709107,0.047009293244223926,0.4156179850510784,0.984,0.016,True,positive,0.94,5.0,4
Premier League,Prev Points,-0.20111500730070103,0.20111500730070103,0.10479484494753273,-0.4003243188773559,-0.0013700301713446827,0.023,0.977,True,negative,0.94,6.0,5
Premier League,Prev Expenditure_missing,-0.34720424939197175,0.34720424939197175,0.3599494772100773,-1.1501439044597255,0.21205294691080856,0.0995,0.9005,False,mixed,0.94,3.0,6
Premier League,Prev Income,-0.049793946436784274,0.049793946436784274,0.03653328193176378,-0.11466652149171977,0.020424388280544076,0.08775,0.91225,False,mixed,0.94,7.0,7
Premier League,Prev Avg. Squad Age,-0.04809275676715508,0.04809275676715508,0.05038121190069396,-0.1442168756633982,0.046854045895569414,0.15075,0.84925,False,mixed,0.94,8.0,8
Premier League,Prev Income_missing,-0.012053222869283491,0.012053222869283491,0.22460660790858955,-0.5406090569673885,0.30580729292871356,0.571,0.429,False,mixed,0.94,9.0,9
