,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[Championship],-0.074,0.0817,-0.2261,0.0798,0.0013,0.001,4250.2642,3866.6962,1.0006
alpha[League One],1.0508,0.1415,0.7966,1.3268,0.0022,0.0017,4070.6098,4051.9432,1.0
alpha[League Two],1.1076,0.3247,0.4963,1.7041,0.0051,0.0042,4009.6459,3886.9948,1.0008
alpha[Premier League],-2.3205,0.205,-2.6914,-1.9285,0.0034,0.0025,3550.965,3678.0459,1.0008
"beta[Championship, Prev Expenditure]",0.3255,0.1078,0.1183,0.526,0.0014,0.0013,5654.6781,3771.256,1.0004
"beta[Championship, Prev Income]",-0.0717,0.0505,-0.1695,0.0186,0.0007,0.0006,4792.2242,3920.281,0.9994
"beta[Championship, Prev Squad Value]",0.7031,0.1452,0.4411,0.9732,0.0022,0.0019,4226.0303,3636.6856,1.0006
"beta[Championship, Prev Avg. Squad Age]",-0.0488,0.0449,-0.1296,0.036,0.0006,0.0006,5058.7819,3561.5606,1.0
"beta[Championship, Prev Goals For]",0.261,0.0835,0.0988,0.4076,0.0015,0.0012,3162.1549,2891.708,1.0006
"beta[Championship, Prev Goals Against]",-0.3037,0.066,-0.429,-0.1792,0.0011,0.0009,3789.9139,3367.5287,1.0003
"beta[Championship, Prev Points]",-0.193,0.0989,-0.3815,-0.0149,0.0017,0.0014,3334.7995,2934.1686,1.0008
"beta[Championship, Prev Expenditure_missing]",-0.2886,0.1482,-0.5702,-0.027,0.0023,0.0018,3984.1349,3898.18,1.0001
"beta[Championship, Prev Income_missing]",0.0658,0.108,-0.1465,0.2616,0.0013,0.0016,6703.3543,3764.688,0.9998
"beta[League One, Prev Expenditure]",0.4194,0.1531,0.1444,0.7097,0.0027,0.0021,3097.6275,3458.3893,1.0012
"beta[League One, Prev Income]",-0.052,0.0836,-0.2241,0.1058,0.0012,0.0015,5073.454,3688.803,0.9999
"beta[League One, Prev Squad Value]",0.9683,0.1904,0.6073,1.3141,0.003,0.0023,4128.868,3760.4812,1.0011
"beta[League One, Prev Avg. Squad Age]",-0.0461,0.0429,-0.1281,0.0334,0.0006,0.0006,5182.0601,3449.6707,1.0002
"beta[League One, Prev Goals For]",0.2735,0.0877,0.1118,0.4415,0.0014,0.0012,3768.869,3385.6736,1.0006
"beta[League One, Prev Goals Against]",-0.285,0.0609,-0.3902,-0.1617,0.001,0.0008,3783.8822,3118.8954,1.0019
"beta[League One, Prev Points]",-0.1857,0.0966,-0.3667,0.0008,0.0016,0.0013,3612.45,3269.7725,1.0016
"beta[League One, Prev Expenditure_missing]",-0.2032,0.1201,-0.4152,0.0316,0.0017,0.0017,5164.989,3408.045,1.0022
"beta[League One, Prev Income_missing]",0.0691,0.0977,-0.1197,0.2488,0.0013,0.0012,5308.0856,3550.6734,1.0006
"beta[League Two, Prev Expenditure]",0.4323,0.2001,0.0915,0.8355,0.0037,0.003,2813.8808,3144.7301,1.0004
"beta[League Two, Prev Income]",0.0006,0.1313,-0.2096,0.2843,0.0028,0.0036,2580.2071,2639.0783,1.0014
"beta[League Two, Prev Squad Value]",0.484,0.2703,-0.0536,0.9459,0.0049,0.0037,2769.1971,2487.9597,1.0005
"beta[League Two, Prev Avg. Squad Age]",-0.0305,0.046,-0.1129,0.0582,0.0007,0.0007,4690.7471,3403.4934,1.0014
"beta[League Two, Prev Goals For]",0.296,0.0915,0.1298,0.4787,0.0015,0.0013,3705.2002,3415.247,1.0002
"beta[League Two, Prev Goals Against]",-0.3253,0.0623,-0.443,-0.2114,0.0011,0.0008,3452.4551,3121.2402,1.0027
"beta[League Two, Prev Points]",-0.1614,0.1031,-0.3521,0.0317,0.0019,0.0015,3017.8571,3222.0914,1.001
"beta[League Two, Prev Expenditure_missing]",-0.0465,0.1875,-0.3838,0.2982,0.0032,0.0025,3182.082,2971.1189,1.0001
"beta[League Two, Prev Income_missing]",0.0626,0.1038,-0.1299,0.2617,0.0014,0.0014,5922.3271,3664.6063,1.0009
"beta[Premier League, Prev Expenditure]",0.2254,0.1076,0.0314,0.427,0.0018,0.0013,3643.7748,3544.0753,1.0008
"beta[Premier League, Prev Income]",-0.042,0.0376,-0.1149,0.027,0.0006,0.0005,4617.3119,3459.162,1.0006
"beta[Premier League, Prev Squad Value]",0.982,0.1358,0.7376,1.2416,0.0023,0.0018,3482.6439,3511.6207,1.0002
"beta[Premier League, Prev Avg. Squad Age]",-0.0507,0.0501,-0.1573,0.034,0.0007,0.0008,5105.0818,3531.6224,1.003
"beta[Premier League, Prev Goals For]",0.346,0.085,0.1984,0.5059,0.0016,0.0011,2795.9331,3380.7752,1.0004
"beta[Premier League, Prev Goals Against]",-0.3297,0.0738,-0.4695,-0.193,0.0012,0.0011,3738.3323,3445.4574,0.9999
"beta[Premier League, Prev Points]",-0.1919,0.1071,-0.3874,0.0071,0.0019,0.0016,3181.9544,2945.6295,1.0004
"beta[Premier League, Prev Expenditure_missing]",-0.3499,0.3827,-1.2325,0.2113,0.0072,0.0092,3093.1202,2849.1462,1.0008
"beta[Premier League, Prev Income_missing]",-0.0064,0.2319,-0.4766,0.3833,0.0043,0.0061,3404.6437,2953.3504,1.0009
