,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[Championship],-0.0622,0.0838,-0.2188,0.0915,0.0013,0.001,4457.4952,3602.6682,1.0004
alpha[League One],1.0247,0.1357,0.7539,1.2585,0.002,0.0015,4688.3931,3915.2177,0.9997
alpha[League Two],1.0748,0.3213,0.4379,1.6373,0.0059,0.0044,2892.2322,3305.1353,1.0002
alpha[Premier League],-2.2834,0.2053,-2.7019,-1.9254,0.0034,0.0025,3577.0879,3471.0399,0.9994
"beta[Championship, Prev Expenditure]",0.3293,0.1075,0.1278,0.5359,0.0016,0.0014,4635.6111,3925.2076,1.0007
"beta[Championship, Prev Income]",-0.0709,0.0514,-0.1717,0.0213,0.0007,0.0007,4896.0565,3926.324,1.0005
"beta[Championship, Prev Squad Value]",0.6845,0.1475,0.4108,0.9684,0.0024,0.0018,3768.4809,3421.768,1.0008
"beta[Championship, Prev Avg. Squad Age]",-0.0453,0.045,-0.128,0.0443,0.0006,0.0006,5762.6256,3223.2907,1.0006
"beta[Championship, Prev Goals For]",0.2659,0.085,0.1021,0.421,0.0013,0.0012,4022.6564,3123.5345,1.0001
"beta[Championship, Prev Goals Against]",-0.3019,0.0694,-0.4247,-0.1651,0.0011,0.0009,4112.1428,3497.0434,1.0003
"beta[Championship, Prev Season Result]",-0.1982,0.103,-0.4063,-0.0199,0.0016,0.0015,4038.5019,3304.4527,1.0005
"beta[Championship, Prev Expenditure_missing]",-0.2887,0.1495,-0.5966,-0.0321,0.0024,0.0018,3862.5603,3230.7486,1.0011
"beta[Championship, Prev Income_missing]",0.0632,0.11,-0.1483,0.2679,0.0015,0.0016,5665.9469,3678.9396,1.0002
"beta[League One, Prev Expenditure]",0.4234,0.1519,0.169,0.74,0.0025,0.0019,3518.3076,3779.0551,1.0005
"beta[League One, Prev Income]",-0.0574,0.0822,-0.2101,0.109,0.0012,0.0014,4569.7583,3642.6241,0.9998
"beta[League One, Prev Squad Value]",0.9252,0.1823,0.6055,1.2802,0.0027,0.0026,4536.6952,3537.397,0.9999
"beta[League One, Prev Avg. Squad Age]",-0.0487,0.0449,-0.1349,0.036,0.0006,0.0006,5412.2604,3539.2981,0.9996
"beta[League One, Prev Goals For]",0.2765,0.0864,0.1088,0.433,0.0014,0.0012,3772.9501,3081.5372,0.9999
"beta[League One, Prev Goals Against]",-0.2855,0.0622,-0.4032,-0.1714,0.001,0.0007,3870.3114,3243.5744,1.0012
"beta[League One, Prev Season Result]",-0.1886,0.0986,-0.3663,0.0004,0.0016,0.0016,3955.5469,2878.2049,1.0003
"beta[League One, Prev Expenditure_missing]",-0.1943,0.1172,-0.4113,0.0337,0.0017,0.0015,4954.5929,3807.7867,1.0005
"beta[League One, Prev Income_missing]",0.0622,0.0985,-0.1242,0.2503,0.0013,0.0013,5996.5412,3643.8552,1.0006
"beta[League Two, Prev Expenditure]",0.4327,0.1998,0.0915,0.8423,0.0036,0.0028,3050.1266,3380.0372,1.0023
"beta[League Two, Prev Income]",-0.0143,0.1241,-0.224,0.2622,0.0023,0.0028,3179.1518,3147.1792,1.0004
"beta[League Two, Prev Squad Value]",0.4539,0.2667,-0.0147,0.953,0.0065,0.0037,1568.9116,2173.1203,1.0029
"beta[League Two, Prev Avg. Squad Age]",-0.0288,0.0466,-0.1159,0.0595,0.0007,0.0006,4996.8128,3584.1906,0.9995
"beta[League Two, Prev Goals For]",0.3008,0.0909,0.11,0.4567,0.0014,0.0014,4149.5666,2758.4144,1.0009
"beta[League Two, Prev Goals Against]",-0.324,0.0627,-0.4533,-0.216,0.001,0.0008,4200.6314,3421.0624,1.0
"beta[League Two, Prev Season Result]",-0.172,0.101,-0.3601,0.0178,0.0016,0.0014,4162.1589,3235.5335,0.9999
"beta[League Two, Prev Expenditure_missing]",-0.056,0.1803,-0.3801,0.2853,0.0034,0.0023,2835.1981,3109.6547,1.0006
"beta[League Two, Prev Income_missing]",0.0638,0.0998,-0.1168,0.2602,0.0014,0.0013,5210.8172,3708.0494,1.0012
"beta[Premier League, Prev Expenditure]",0.2273,0.1042,0.0248,0.4137,0.0016,0.0013,4075.168,3399.6586,0.9993
"beta[Premier League, Prev Income]",-0.0496,0.0363,-0.1153,0.0196,0.0006,0.0004,4009.8782,3552.3573,1.0007
"beta[Premier League, Prev Squad Value]",0.9601,0.1365,0.701,1.2108,0.0025,0.0016,2892.0362,3357.5466,1.0
"beta[Premier League, Prev Avg. Squad Age]",-0.0485,0.051,-0.1549,0.045,0.0007,0.0008,5142.8334,3644.9103,1.0003
"beta[Premier League, Prev Goals For]",0.3524,0.0891,0.1985,0.5301,0.0016,0.0013,3028.0997,3191.4575,1.0007
"beta[Premier League, Prev Goals Against]",-0.3307,0.0759,-0.4763,-0.1932,0.0012,0.0011,3828.3985,3666.6293,0.9997
"beta[Premier League, Prev Season Result]",-0.2016,0.1105,-0.4279,-0.0076,0.002,0.0018,3244.9566,2987.3666,1.0005
"beta[Premier League, Prev Expenditure_missing]",-0.3435,0.3504,-1.0725,0.2659,0.0063,0.0075,3246.2872,3078.2781,1.0012
"beta[Premier League, Prev Income_missing]",-0.006,0.2242,-0.4303,0.3872,0.0041,0.0066,3384.4526,2717.1031,1.0022
