League,Feature,MeanCoefficient,AbsMeanCoefficient,SD,HDILower,HDIUpper,ProbabilityPositive,ProbabilityNegative,RobustNonZero,Direction,IntervalProbability,AbsMeanRank,RobustRank
Championship,Prev Squad Value,0.6844748428163739,0.6844748428163739,0.14746821023433057,0.410814254735278,0.9684495265043478,1.0,0.0,True,positive,0.94,1.0,1
Championship,Prev Expenditure,0.3293246040722592,0.3293246040722592,0.107468221868549,0.12776440436643843,0.5359067781465139,0.998,0.002,True,positive,0.94,2.0,2
Championship,Prev Goals Against,-0.3018606453211784,0.3018606453211784,0.06936300196433479,-0.4247233789884095,-0.16506579676815555,0.0005,0.9995,True,negative,0.94,3.0,3
Championship,Prev Expenditure_missing,-0.28871314867991804,0.28871314867991804,0.14952656735929684,-0.5966249996602612,-0.03208339287472335,0.0215,0.9785,True,negative,0.94,4.0,4
Championship,Prev Goals For,0.26591752438750066,0.26591752438750066,0.08495350607127464,0.10209780276485772,0.42095537262504906,0.998,0.002,True,positive,0.94,5.0,5
Championship,Prev Season Result,-0.1982187196916216,0.1982187196916216,0.10303921013759662,-0.4063331899513275,-0.019885921708943766,0.027,0.973,True,negative,0.94,6.0,6
Championship,Prev Income,-0.07092687580171668,0.07092687580171668,0.05143829017500944,-0.17173812501053584,0.021340453596961496,0.06925,0.93075,False,mixed,0.94,7.0,7
Championship,Prev Income_missing,0.06318069141491366,0.06318069141491366,0.1099848074609537,-0.14830461186183955,0.2679127545923276,0.729,0.271,False,mixed,0.94,8.0,8
Championship,Prev Avg. Squad Age,-0.04529086913769784,0.04529086913769784,0.045020145962163256,-0.1280399055179543,0.04426752695625721,0.1435,0.8565,False,mixed,0.94,9.0,9
League One,Prev Squad Value,0.92522049103,0.92522049103,0.182327392426048,0.6054819461350099,1.2802129314439512,1.0,0.0,True,positive,0.94,1.0,1
League One,Prev Expenditure,0.42335880404122256,0.42335880404122256,0.15191708566460554,0.16896821930476696,0.7400046239261429,0.9995,0.0005,True,positive,0.94,2.0,2
League One,Prev Goals Against,-0.2854679312846893,0.2854679312846893,0.062242984677040085,-0.4031979557839569,-0.17141761065535746,0.0,1.0,True,negative,0.94,3.0,3
League One,Prev Goals For,0.2765396948605378,0.2765396948605378,0.08643506461256659,0.10876814005486954,0.4330190896036809,0.9985,0.0015,True,positive,0.94,4.0,4
League One,Prev Expenditure_missing,-0.194282704833714,0.194282704833714,0.11719474791146114,-0.41126716890557263,0.03370914581036619,0.05425,0.94575,False,mixed,0.94,5.0,5
League One,Prev Season Result,-0.1885760062511938,0.1885760062511938,0.09856084059941503,-0.36626036141812723,0.00041469677858010565,0.02675,0.97325,False,mixed,0.94,6.0,6
League One,Prev Income_missing,0.062195527345673934,0.062195527345673934,0.09850609314419612,-0.1242438419575322,0.25034169937377876,0.744,0.256,False,mixed,0.94,7.0,7
League One,Prev Income,-0.057430707675876914,0.057430707675876914,0.08223517554011359,-0.2101312595771732,0.10897367270948839,0.204,0.796,False,mixed,0.94,8.0,8
League One,Prev Avg. Squad Age,-0.04867598665395256,0.04867598665395256,0.04494495781887479,-0.1348985333203827,0.036027276039691435,0.136,0.864,False,mixed,0.94,9.0,9
League Two,Prev Expenditure,0.43273902866154895,0.43273902866154895,0.19978718210130872,0.09151293588020237,0.8423438461089935,0.9935,0.0065,True,positive,0.94,2.0,1
League Two,Prev Goals Against,-0.32400535951356946,0.32400535951356946,0.06274406326444032,-0.4533004702516913,-0.21595277671584012,0.0,1.0,True,negative,0.94,3.0,2
League Two,Prev Goals For,0.300806674751518,0.300806674751518,0.09092327584214255,0.1100096725285693,0.4566515614394199,0.99925,0.00075,True,positive,0.94,4.0,3
League Two,Prev Squad Value,0.4539282579061148,0.4539282579061148,0.26668750495610316,-0.014674833851519554,0.9529780933371156,0.946,0.054,False,mixed,0.94,1.0,4
League Two,Prev Season Result,-0.1720492852198201,0.1720492852198201,0.1010260972373065,-0.3600839001086351,0.017845797105659474,0.04725,0.95275,False,mixed,0.94,5.0,5
League Two,Prev Income_missing,0.06380955691884717,0.06380955691884717,0.09978932634318213,-0.1167887168610948,0.2601829323802534,0.75125,0.24875,False,mixed,0.94,6.0,6
League Two,Prev Expenditure_missing,-0.05600887972902255,0.05600887972902255,0.18031655496114724,-0.3800916962534554,0.28528323740878686,0.34425,0.65575,False,mixed,0.94,7.0,7
League Two,Prev Avg. Squad Age,-0.028784717079132324,0.028784717079132324,0.04659193628527888,-0.11585692767795414,0.059525851019916816,0.2435,0.7565,False,mixed,0.94,8.0,8
League Two,Prev Income,-0.014257412444579334,0.014257412444579334,0.1241073161553008,-0.22395491168797108,0.26216949365957637,0.32975,0.67025,False,mixed,0.94,9.0,9
Premier League,Prev Squad Value,0.9601089604428789,0.9601089604428789,0.13654270597904286,0.7010333427614936,1.2108489873490136,1.0,0.0,True,positive,0.94,1.0,1
Premier League,Prev Goals For,0.3524426208471915,0.3524426208471915,0.0890818602723636,0.19850326872672924,0.5300982329899105,1.0,0.0,True,positive,0.94,2.0,2
Premier League,Prev Goals Against,-0.3306947561781524,0.3306947561781524,0.07588176396153075,-0.47626693056636216,-0.19323639925257788,0.0,1.0,True,negative,0.94,4.0,3
Premier League,Prev Expenditure,0.22733042283193716,0.22733042283193716,0.1042273682793228,0.024758704737812373,0.4137483283267198,0.98275,0.01725,True,positive,0.94,5.0,4
Premier League,Prev Season Result,-0.20161048814801955,0.20161048814801955,0.11052240637074387,-0.42785878193291027,-0.0075603908490434225,0.02925,0.97075,True,negative,0.94,6.0,5
Premier League,Prev Expenditure_missing,-0.3434860635708848,0.3434860635708848,0.3503596805194864,-1.0724956644473997,0.26591670890686414,0.0975,0.9025,False,mixed,0.94,3.0,6
Premier League,Prev Income,-0.04955871829581766,0.04955871829581766,0.03630241940129453,-0.1152603367555271,0.01963582714573109,0.08775,0.91225,False,mixed,0.94,7.0,7
Premier League,Prev Avg. Squad Age,-0.04851494499682654,0.04851494499682654,0.051018548398532114,-0.15491570608668526,0.04499548721295593,0.1505,0.8495,False,mixed,0.94,8.0,8
Premier League,Prev Income_missing,-0.005992087548668825,0.005992087548668825,0.22416163631591274,-0.4303491919809412,0.38720679849005546,0.58925,0.41075,False,mixed,0.94,9.0,9
