League,Feature,MeanCoefficient,AbsMeanCoefficient,SD,HDILower,HDIUpper,ProbabilityPositive,ProbabilityNegative,RobustNonZero,Direction,IntervalProbability,AbsMeanRank,RobustRank
Championship,Prev Squad Value,0.7046890933660025,0.7046890933660025,0.12498376638844232,0.45132876664888716,0.9447938577224516,1.0,0.0,True,positive,0.94,1.0,1
Championship,Prev Expenditure,0.36027109574925165,0.36027109574925165,0.10548657474241409,0.15257641688575702,0.5173474923164477,0.99875,0.00125,True,positive,0.94,2.0,2
Championship,Prev Goals Against,-0.30611024667069126,0.30611024667069126,0.055447466379389895,-0.4102428401172332,-0.19346233359552012,0.0,1.0,True,negative,0.94,3.0,3
Championship,Prev Expenditure_missing,-0.2908828456504064,0.2908828456504064,0.1312911453008873,-0.5460975628242045,-0.03220922314754768,0.01325,0.98675,True,negative,0.94,4.0,4
Championship,Prev Goals For,0.2708038945349089,0.2708038945349089,0.07020229684949,0.1272335275005487,0.40173009233289075,0.99925,0.00075,True,positive,0.94,5.0,5
Championship,Prev Points,-0.2043204954389847,0.2043204954389847,0.08354681896860411,-0.35962290759944915,-0.030318414308925623,0.01375,0.98625,True,negative,0.94,6.0,6
Championship,Prev Income_missing,0.07774133359349368,0.07774133359349368,0.0928040707075434,-0.10657864636688485,0.2623964426485422,0.80775,0.19225,False,mixed,0.94,7.0,7
Championship,Prev Income,-0.06859253146499365,0.06859253146499365,0.041982381755450146,-0.1512954970229127,0.016559207903666114,0.05225,0.94775,False,mixed,0.94,8.0,8
Championship,Prev Avg. Squad Age,-0.0623972972057315,0.0623972972057315,0.04746377848132263,-0.13752904269673977,0.02765279558945135,0.1015,0.8985,False,mixed,0.94,9.0,9
League One,Prev Squad Value,0.8844476597435383,0.8844476597435383,0.17984432148542562,0.645521728970806,1.2625473731214825,1.0,0.0,True,positive,0.94,1.0,1
League One,Prev Expenditure,0.4180407166287092,0.4180407166287092,0.13163927759700947,0.1632991460830243,0.6751769045085493,0.99925,0.00075,True,positive,0.94,2.0,2
League One,Prev Goals Against,-0.2911143911845781,0.2911143911845781,0.05302771360919509,-0.39192240221907126,-0.18438905315562543,0.0,1.0,True,negative,0.94,3.0,3
League One,Prev Goals For,0.28630361959538664,0.28630361959538664,0.07496399477871564,0.1359728283727823,0.42729398675631547,0.9995,0.0005,True,positive,0.94,4.0,4
League One,Prev Expenditure_missing,-0.2206858455562066,0.2206858455562066,0.11475601309674348,-0.3969093396195485,-0.00018758219022520467,0.035,0.965,True,negative,0.94,5.0,5
League One,Prev Points,-0.18558998390889123,0.18558998390889123,0.08181021912642444,-0.34765428447387436,-0.02087690804487758,0.01825,0.98175,True,negative,0.94,6.0,6
League One,Prev Income_missing,0.07052569094663164,0.07052569094663164,0.08439396706003216,-0.11207432704367308,0.22323357850469888,0.8055,0.1945,False,mixed,0.94,7.0,7
