,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,-0.0193,0.335,-0.7123,0.4853,0.0409,0.0237,72.0743,49.7347,1.0236
mu_beta[Expenditure],-0.0725,0.1897,-0.4594,0.1953,0.0188,0.0146,99.9429,55.5675,0.988
mu_beta[Income],0.036,0.1436,-0.2715,0.2819,0.0123,0.0118,138.554,79.892,1.019
mu_beta[Squad Value],-0.0016,0.0599,-0.0912,0.1103,0.0066,0.0092,82.4187,79.2784,0.9974
mu_beta[Avg. Squad Age],0.0297,0.0544,-0.0079,0.0543,0.0066,0.0233,98.4092,73.0976,0.996
mu_beta[Goals For],0.6307,0.0841,0.4785,0.7727,0.0092,0.0091,86.8307,80.5222,1.0104
mu_beta[Goals Against],-0.4655,0.0674,-0.567,-0.3045,0.0065,0.0058,116.1269,101.8862,1.0014
mu_beta[Expenditure_missing],0.1434,0.4506,-0.5015,0.9613,0.0466,0.0448,97.3477,78.4117,0.991
mu_beta[Income_missing],-0.0631,0.314,-0.6837,0.5196,0.026,0.0244,148.0298,54.5597,1.0209
sigma,0.329,0.0069,0.3178,0.3415,0.0005,0.0006,178.602,99.6558,0.9923
sigma_alpha,0.4386,0.2471,0.1335,0.8972,0.0219,0.0381,118.1724,40.815,1.0253
sigma_beta[Expenditure],0.0852,0.081,0.0012,0.2623,0.0105,0.0091,41.81,32.9585,1.0128
sigma_beta[Income],0.0782,0.1112,0.0002,0.3063,0.0185,0.0233,30.9497,32.9585,1.0589
sigma_beta[Squad Value],0.0564,0.0548,0.0015,0.1737,0.0087,0.0082,25.6213,55.3219,1.0707
sigma_beta[Avg. Squad Age],0.0247,0.0463,0.0,0.0872,0.0068,0.0156,21.4311,55.3111,1.0731
sigma_beta[Goals For],0.1374,0.0696,0.054,0.2591,0.0078,0.0089,85.3353,79.892,1.0492
sigma_beta[Goals Against],0.1229,0.0831,0.0384,0.263,0.0063,0.0099,136.185,102.8535,0.9887
sigma_beta[Expenditure_missing],0.1173,0.1296,0.0003,0.4261,0.0245,0.0152,21.5516,32.7819,1.0826
sigma_beta[Income_missing],0.1532,0.1594,0.0032,0.4846,0.0335,0.0189,19.1755,53.7714,1.0744
alpha[Championship],0.1236,0.1798,-0.2334,0.3958,0.0181,0.0146,104.4728,76.8314,0.9938
alpha[League One],0.0119,0.2212,-0.3996,0.3719,0.0207,0.0205,117.0911,78.4117,1.0135
alpha[League Two],0.0572,0.2507,-0.3605,0.6185,0.0223,0.022,127.7116,95.0851,1.0
alpha[Premier League],-0.4634,0.1894,-0.8989,-0.1721,0.0187,0.0142,105.0168,118.9372,1.0074
"beta[Championship, Expenditure]",-0.0787,0.1829,-0.456,0.1846,0.019,0.0173,99.2656,68.6372,0.9854
"beta[Championship, Income]",0.0324,0.128,-0.2275,0.2712,0.0099,0.0104,175.8231,79.892,1.0144
"beta[Championship, Squad Value]",0.0009,0.0474,-0.0766,0.0899,0.0041,0.004,126.9128,118.8336,1.0177
"beta[Championship, Avg. Squad Age]",0.0243,0.0164,-0.0065,0.0531,0.0012,0.0013,200.0,102.8535,0.9881
"beta[Championship, Goals For]",0.591,0.0268,0.5464,0.6419,0.0026,0.0014,102.7475,114.6818,1.0004
"beta[Championship, Goals Against]",-0.5387,0.0231,-0.5752,-0.4939,0.0025,0.0021,81.3227,57.6991,1.0064
"beta[Championship, Expenditure_missing]",0.157,0.485,-0.6539,1.0207,0.0498,0.0487,102.9695,59.1013,0.9871
"beta[Championship, Income_missing]",-0.0461,0.3192,-0.6597,0.5603,0.0236,0.0247,198.9699,79.892,1.0483
"beta[League One, Expenditure]",-0.0701,0.2194,-0.4488,0.2491,0.0223,0.0221,107.4676,79.0138,0.9914
"beta[League One, Income]",0.0385,0.1431,-0.2106,0.3021,0.0121,0.0119,136.2283,78.0984,1.0176
"beta[League One, Squad Value]",-0.012,0.05,-0.1019,0.0901,0.0043,0.004,133.8376,71.0835,0.9896
"beta[League One, Avg. Squad Age]",0.0285,0.0152,-0.0004,0.0571,0.0011,0.0012,200.0,118.2824,0.9868
"beta[League One, Goals For]",0.7326,0.0241,0.6784,0.7704,0.0019,0.0019,159.4913,123.1799,1.0149
"beta[League One, Goals Against]",-0.3839,0.0229,-0.4228,-0.3428,0.0021,0.0017,113.1951,106.9123,1.0092
"beta[League One, Expenditure_missing]",0.1318,0.4618,-0.5489,0.953,0.0477,0.049,104.2371,78.4117,0.9854
"beta[League One, Income_missing]",-0.016,0.2992,-0.5647,0.5438,0.0256,0.0231,141.9917,79.892,1.0145
"beta[League Two, Expenditure]",-0.0871,0.2181,-0.4733,0.2378,0.0221,0.0221,113.7957,78.4117,0.9842
"beta[League Two, Income]",0.0536,0.1567,-0.2128,0.3611,0.0135,0.0127,136.4707,119.5919,1.0709
"beta[League Two, Squad Value]",-0.0119,0.0494,-0.1195,0.066,0.0037,0.0042,170.2185,102.8535,0.9886
"beta[League Two, Avg. Squad Age]",0.0243,0.019,-0.0229,0.0525,0.0014,0.002,196.4625,96.6119,1.0032
"beta[League Two, Goals For]",0.716,0.0241,0.6724,0.7565,0.002,0.0016,132.8011,119.5919,0.9852
"beta[League Two, Goals Against]",-0.4541,0.0204,-0.4902,-0.411,0.0019,0.0012,110.9326,66.9396,1.0021
"beta[League Two, Expenditure_missing]",0.0926,0.4265,-0.5025,0.9091,0.0435,0.0415,108.3439,78.4117,0.9921
"beta[League Two, Income_missing]",-0.0312,0.299,-0.5783,0.5293,0.0258,0.0225,137.1999,99.8175,1.045
"beta[Premier League, Expenditure]",-0.0761,0.1842,-0.421,0.2151,0.0145,0.0129,171.6328,108.8464,1.0003
"beta[Premier League, Income]",0.0325,0.1296,-0.1984,0.3005,0.0104,0.012,152.6997,79.892,1.0295
"beta[Premier League, Squad Value]",0.0033,0.0506,-0.0837,0.1057,0.0051,0.0038,95.8864,80.5222,0.9952
"beta[Premier League, Avg. Squad Age]",0.015,0.0216,-0.0349,0.0497,0.0022,0.0023,115.437,95.0851,1.0195
"beta[Premier League, Goals For]",0.5756,0.0266,0.521,0.6211,0.0026,0.0015,102.0308,90.7811,1.0047
"beta[Premier League, Goals Against]",-0.4472,0.03,-0.4919,-0.382,0.0035,0.0026,70.9695,102.8535,1.0154
"beta[Premier League, Expenditure_missing]",0.1252,0.4624,-0.6555,0.9655,0.0474,0.043,99.2351,76.2797,0.9871
"beta[Premier League, Income_missing]",-0.1234,0.3258,-0.8237,0.4529,0.0345,0.0268,98.257,54.5597,1.0167
