feature,importance_mean,importance_std,ci_lower,ci_upper,robust_positive
Prev Points,0.12166250934601372,0.1124389383770173,-0.08487279547863293,0.30408254071834323,False
Prev Squad Value,0.06424945164326247,0.04388023491104938,-0.010858158744530586,0.14463641820621143,False
Prev Avg. Squad Age,0.052381111690412006,0.013186444929845265,0.03311895802998959,0.07697288281254498,True
Prev Income,0.021639920047848184,0.019325743998830847,-0.006840440483286656,0.059937791532955066,False
Prev Expenditure,0.011715601587157003,0.020010716652020057,-0.024707770754123344,0.043401758300705764,False
Prev Income_missing,0.0003814670552825916,0.0001712404925974647,0.00010906077218379556,0.000934656524031392,True
lg_Premier League,-8.43769498715119e-17,9.39916867513716e-17,-2.220446049250313e-16,1.1102230246251565e-16,False
lg_Championship,-8.881784197001253e-17,8.971956906764428e-17,-2.220446049250313e-16,1.1102230246251565e-16,False
lg_Ligue One,-9.325873406851315e-17,7.559905265488115e-17,-2.220446049250313e-16,1.1102230246251565e-16,False
lg_Bundesliga,-9.547918011776346e-17,7.773179404808497e-17,-2.220446049250313e-16,1.1102230246251565e-16,False
lg_Serie A,-1.0436096431476471e-16,9.358938063852212e-17,-3.3306690738754696e-16,1.1102230246251565e-16,False
lg_LaLiga,-1.0658141036401502e-16,9.237194995292034e-17,-2.8088642523016444e-16,1.1102230246251565e-16,False
lg_League Two,-1.0880185641326534e-16,8.538102817578907e-17,-3.3306690738754696e-16,1.1102230246251565e-16,False
Prev Expenditure_missing,-1.2212453270876723e-16,9.041778636120274e-17,-3.3306690738754696e-16,5.884182030513342e-17,False
lg_League One,-1.2212453270876723e-16,9.841075292759331e-17,-3.3306690738754696e-16,5.884182030513342e-17,False
Prev Goals Against,-0.006750502490766517,0.016840255225830176,-0.03566192095799449,0.015908219051097884,False
Prev Goals For,-0.006844604216147259,0.023603564274240665,-0.04447786611507525,0.03606233360993381,False
