feature,importance_mean,importance_std,ci_lower,ci_upper,robust_positive
Prev Squad Value,0.19805871288667806,0.02843040475758342,0.1539768464974233,0.2533876880180753,True
Prev Points,0.1494702266767999,0.02462714447640225,0.11262998111915194,0.1866461660694395,True
lg_Championship,0.13392521223850623,0.02302139389540001,0.0949872733970416,0.17592847120985186,True
lg_Premier League,0.09779030281908216,0.019849419083808596,0.06149103639230371,0.1276429179002592,True
lg_League One,0.06285343863401929,0.019584378697010418,0.02710020924152605,0.09977966731004581,True
Prev Expenditure,0.02826610345083873,0.0110913112942194,0.011548927058939113,0.04985612345320262,True
Prev Goals For,0.024860330398728925,0.008542657400377792,0.010860443716524988,0.04179711792776279,True
Prev Avg. Squad Age,0.005789163676978757,0.004200732706552925,-0.0037898265216419606,0.012671704683070254,False
lg_League Two,0.002920739230014313,0.0016383266959423542,-0.00046472326778034743,0.005643769959612136,False
Prev Income,0.0019445078465986575,0.0050956198239893,-0.006429675393686512,0.01048444358954934,False
lg_Bundesliga,0.0016711818890567498,0.001810995867569697,-0.0023971711614432854,0.00428726848818202,False
lg_LaLiga,0.001260150984961974,0.0005252893765040361,0.0002539595470507711,0.0021834871942125055,True
lg_Serie A,0.0007359689799764246,0.00043155854724271866,-2.6133773601922883e-05,0.0014689816486452424,False
Prev Expenditure_missing,0.0007129722022744756,0.0008841488122121613,-0.0007961515072082131,0.002142644172072077,False
Prev Income_missing,7.717432319789941e-05,0.0004160761420851463,-0.00068842357515006,0.0008633351030426531,False
lg_Ligue One,-0.00022116731547785261,0.0013430612960048222,-0.0028777215061776894,0.002614431952705433,False
Prev Goals Against,-0.0026801557704890723,0.005039632615612437,-0.013160222516039464,0.006770229400234359,False
