feature,importance_mean,importance_std,ci_lower,ci_upper,robust_positive
Prev Points,0.2758928878373791,0.09848081220005846,0.08233305255953285,0.45764240588161537,True
Prev Squad Value,0.07956411161001137,0.03807564134072678,0.0024035776395795547,0.14027394933930828,True
Prev Goals For,0.03683723178250249,0.026572622180660258,-0.005461688716811602,0.0808031312507289,False
Prev Goals Against,0.018237336157112583,0.0120720661272223,0.001353715531557153,0.04001740869799134,True
Prev Avg. Squad Age,0.014336149737891723,0.015147864737041172,-0.02326746973614446,0.035495854786387386,False
Prev Expenditure,0.011528755096864048,0.014438662273194052,-0.017358785278980004,0.034893750970686484,False
Prev Income,0.0031719288131432186,0.014779742637414193,-0.019834194811684892,0.02642627319404883,False
Prev Income_missing,0.0001491613111694745,0.00019857544170610685,-0.00038827746387855126,0.00033750779488599174,False
Prev Expenditure_missing,0.00010407450298947518,0.0002651526551630506,-0.00038177467614559755,0.0005132584741322466,False
lg_Championship,2.4424906541753444e-17,6.056070912065989e-17,-1.1102230246251565e-16,1.1102230246251565e-16,False
lg_Serie A,1.3322676295501878e-17,6.199745569524618e-17,-1.1102230246251565e-16,1.1102230246251565e-16,False
lg_League Two,1.1102230246251566e-17,6.039433323179393e-17,-1.1102230246251565e-16,1.1102230246251565e-16,False
lg_Premier League,1.1102230246251566e-17,6.821785411989623e-17,-1.1102230246251565e-16,1.1102230246251565e-16,False
lg_Ligue One,4.440892098500626e-18,6.32825136523328e-17,-1.1102230246251565e-16,1.1102230246251565e-16,False
lg_LaLiga,0.0,7.092954723563637e-17,-1.1102230246251565e-16,1.1102230246251565e-16,False
lg_Bundesliga,-6.661338147750939e-18,7.236899680502361e-17,-1.1102230246251565e-16,1.1102230246251565e-16,False
lg_League One,-8.881784197001253e-18,6.2803698347351e-17,-1.1102230246251565e-16,1.1102230246251565e-16,False
