feature,importance_mean,importance_std,ci_lower,ci_upper,robust_positive
Prev Goals Against,0.031970760112300246,0.015366892326168275,0.007500830479946178,0.06039869995677159,True
Prev Points,0.029299465842978566,0.023712752327726166,-0.015178153084924926,0.069618417574907,False
Prev Squad Value,0.02315259174875635,0.02090048898170072,-0.012970201075857187,0.061437127121669044,False
Prev Expenditure,0.01374465190840562,0.006497573260166248,0.0043555768493790965,0.02563802865081166,True
Prev Income,0.011474915219012236,0.008739827319463201,-0.002221192282042544,0.02762454465061447,False
Prev Goals For,0.005728341005733106,0.01375094177925713,-0.01835338616016741,0.028688307566801265,False
Prev Avg. Squad Age,0.005310771461916053,0.013183620079797582,-0.024643195141415216,0.025647847692038993,False
Prev Income_missing,0.0018127788379828402,0.0014367845866145336,-8.904295406656926e-05,0.004342296623732651,False
Prev Expenditure_missing,0.0014331585174084394,0.0026619682659694693,-0.004315613633334792,0.005786807321974341,False
lg_Serie A,3.552713678800501e-17,1.4263718559245266e-16,-1.1102230246251565e-16,2.220446049250313e-16,False
lg_Ligue One,2.4424906541753444e-17,1.3696934511909697e-16,-1.698641227676488e-16,2.220446049250313e-16,False
lg_LaLiga,1.5543122344752193e-17,1.5214346547752865e-16,-2.220446049250313e-16,2.220446049250313e-16,False
lg_Championship,8.881784197001253e-18,1.3239337724352552e-16,-1.1102230246251565e-16,2.220446049250313e-16,False
lg_Premier League,8.881784197001253e-18,1.450851708745009e-16,-1.698641227676488e-16,2.220446049250313e-16,False
lg_League One,2.220446049250313e-18,1.3915574577745822e-16,-2.220446049250313e-16,2.220446049250313e-16,False
lg_League Two,-8.881784197001253e-18,1.415750919952823e-16,-1.698641227676488e-16,2.220446049250313e-16,False
lg_Bundesliga,-1.5543122344752193e-17,1.2690245524826792e-16,-1.698641227676488e-16,2.220446049250313e-16,False
