feature,importance_mean,importance_std,ci_lower,ci_upper,robust_positive
Prev Goals For,0.028622813754070248,0.02842380150719194,-0.019440519143888214,0.07915503171006054,False
Prev Goals Against,0.026357050619113503,0.03098134368768996,-0.032747854054884534,0.07565040765728552,False
Prev Squad Value,0.013223647438435711,0.015551664194602932,-0.02196841665665604,0.04001074576590799,False
Prev Points,0.0075542795069231715,0.05853215255281252,-0.0990654866558501,0.09855805811357521,False
Prev Income,0.005172813322486234,0.008745479174911048,-0.008686956799202474,0.018634044272187095,False
Prev Avg. Squad Age,0.0035633872752164875,0.01752607253068068,-0.03060388714845291,0.03312182651149568,False
Prev Income_missing,0.0019266368014100043,0.001721952646774916,-0.0009130627781438778,0.004679699489538978,False
lg_Bundesliga,3.019806626980426e-16,1.3277283740045442e-16,1.04360964314765e-16,4.440892098500626e-16,True
lg_Premier League,2.9753977059954197e-16,1.2375122642900722e-16,1.04360964314765e-16,4.440892098500626e-16,True
lg_Serie A,2.9309887850104134e-16,1.303252019583043e-16,0.0,4.440892098500626e-16,False
lg_Ligue One,2.886579864025407e-16,1.1214946133455537e-16,2.220446049250313e-16,4.440892098500626e-16,True
lg_League Two,2.842170943040401e-16,1.2719944244415708e-16,0.0,4.440892098500626e-16,False
lg_LaLiga,2.6201263381153693e-16,1.2439999221928068e-16,0.0,4.440892098500626e-16,False
lg_League One,2.575717417130363e-16,1.1313207196527975e-16,0.0,4.440892098500626e-16,False
lg_Championship,2.3980817331903383e-16,1.25607396694702e-16,0.0,4.440892098500626e-16,False
Prev Expenditure_missing,-0.0021009793987721314,0.00337960744905256,-0.009495109776434708,0.003499166380470966,False
Prev Expenditure,-0.019077911926096765,0.015142646830151298,-0.043544672977353205,0.00785077128443568,False
