feature,importance_mean,importance_std,ci_lower,ci_upper,robust_positive
Prev Points,0.14745370819042136,0.12672735731599316,-0.04115706986790181,0.40784792727771424,False
Prev Squad Value,0.10288193019950072,0.05139267791506157,0.008091371165825789,0.19102767877934002,True
Prev Expenditure,0.04523218389052172,0.03032454251112459,-0.006014393487885772,0.10525783599630949,False
Prev Goals For,0.028315363904150813,0.03153619480464189,-0.016006952055508977,0.08681795010203097,False
Prev Goals Against,0.008744667695798625,0.023489238135741282,-0.03311475217921157,0.05544840039338103,False
Prev Income,0.004980331902420378,0.02572380074030329,-0.040545998274766896,0.04442931995359589,False
Prev Income_missing,9.120683403739837e-05,0.0002055595306789989,-0.00012476826466533696,0.0005681205470249317,False
lg_Ligue One,3.5971225997855074e-16,1.5948899458219926e-16,1.1102230246251565e-16,5.551115123125783e-16,True
lg_LaLiga,3.26405569239796e-16,1.7433380353169425e-16,0.0,5.551115123125783e-16,False
lg_Premier League,3.1974423109204507e-16,1.5481500959820884e-16,0.0,5.551115123125783e-16,False
lg_League One,3.1308289294429413e-16,1.6738471476538905e-16,0.0,5.551115123125783e-16,False
lg_League Two,3.086420008457935e-16,1.7124749023435138e-16,0.0,5.551115123125783e-16,False
lg_Championship,3.042011087472929e-16,1.7634232375630844e-16,0.0,5.551115123125783e-16,False
lg_Bundesliga,2.9531932455029166e-16,1.7171690345751623e-16,0.0,5.551115123125783e-16,False
Prev Expenditure_missing,2.9087843245179103e-16,1.5683291198206787e-16,5.21804821573825e-17,5.551115123125783e-16,True
lg_Serie A,2.886579864025407e-16,1.7518305880826338e-16,0.0,5.551115123125783e-16,False
Prev Avg. Squad Age,-0.018654435621315576,0.021510446193519505,-0.05888207541378585,0.012959518219227337,False
