feature,mdi_importance
Prev Points,0.2671159044112667
Prev Squad Value,0.22507857047010882
Prev Goals For,0.097213632322081
Prev Expenditure,0.0853268324671132
Prev Goals Against,0.0685140574814912
lg_Championship,0.05729929294522199
Prev Income,0.056321324276056337
Prev Avg. Squad Age,0.05389144954611734
lg_Premier League,0.04553156264798642
lg_League One,0.019772699838614165
lg_League Two,0.005928478387691098
lg_Ligue One,0.004704276310160642
lg_Bundesliga,0.003798073519845736
Prev Expenditure_missing,0.0037198566273096323
Prev Income_missing,0.00255461375977506
lg_Serie A,0.0016190227101586067
lg_LaLiga,0.0016103522790020738
