feature,mean_abs_shap
Prev Points,4.063090154806092
Prev Squad Value,2.9532721635552104
lg_Championship,1.2739627732710461
Prev Goals For,1.117490024736588
lg_Premier League,1.0362085095866589
Prev Expenditure,0.9950247123736975
Prev Goals Against,0.624601125758111
lg_League One,0.5434418251214969
Prev Income,0.4706627237190363
Prev Avg. Squad Age,0.3203343271812274
lg_League Two,0.2110805502908628
lg_Bundesliga,0.10478570190281902
lg_Ligue One,0.04939236063135753
Prev Expenditure_missing,0.03799025246351282
lg_Serie A,0.02588323016626848
lg_LaLiga,0.016682077541971676
Prev Income_missing,0.016590127611479544
